region,category,product,price,quantity,order_date
South,Clothing,Sneakers,41.81,7.0,2025-07-13
East,Clothing,Sneakers,49.67,5.0,2025-11-02
North,Sports,Yoga Mat,16.11,8.0,2025-02-08
South,Clothing,Sneakers,81.57,2.0,2025-01-30
South,Books,Comics,4.32,7.0,2025-07-31
North,Home,Curtains,35.59,7.0,2025-04-12
West,Electronics,Camera,408.81,3.0,2025-11-16
South,Electronics,Camera,479.11,4.0,2025-05-09
North,Books,Novel,9.27,8.0,2025-03-12
West,Books,Textbook,57.44,4.0,2025-01-25
East,Electronics,Camera,504.51,1.0,2025-09-25
East,Clothing,T-Shirt,,1.0,2025-09-16
West,Electronics,Smartphone,606.25,5.0,2025-09-02
East,Electronics,Laptop,,6.0,2025-02-14
East,Clothing,T-Shirt,25.17,6.0,2025-02-12
North,Electronics,Laptop,1270.33,2.0,2025-05-07
north ,Electronics,Smartphone,642.66,6.0,2025-01-27
South,Sports,Skipping Rope,10.68,2.0,
East,Home,Chair,85.0,9.0,2025-06-03
North,Books,Comics,6.58,3.0,2025-10-03
West,Sports,Dumbbells,44.46,8.0,2025-02-20
North,Electronics,Smartphone,507.97,1.0,2025-09-04
West,Sports,Yoga Mat,31.78,4.0,2025-03-21
East,Clothing,Jeans,53.72,2.0,2025-08-16
North,Home,Lamp,22.69,,2025-04-22
South,Sports,Skipping Rope,9.53,5.0,2025-03-20
North,Sports,Bicycle,380.5,4.0,2025-08-13
West,Electronics,Camera,796.05,6.0,2025-08-25
East,Home,Chair,52.04,1.0,2025-06-12
North,Electronics,Laptop,1164.94,9.0,2025-05-26
North,Electronics,Laptop,,7.0,2025-06-17
WEST,Home,Curtains,25.38,9.0,2025-09-03
West,Clothing,Jacket,83.69,8.0,2025-07-18
East,clothing,Chair,57.32,3.0,2025-12-10
South,Sports,Skipping Rope,9.05,1.0,2025-04-20
North,Books,Textbook,39.85,1.0,
,Books,Novel,14.62,7.0,2025-02-14
East,Books,Novel,13.19,7.0,2025-03-17
South,Sports,Bicycle,400.8,9.0,2025-06-06
West,Home,Cookware,,9.0,2025-05-23
West,Sports,Yoga Mat,14.19,9.0,2025-06-10
South,Home,Lamp,34.28,7.0,2025-02-09
East,Electronics,Laptop,1347.69,6.0,2025-04-22
East,Electronics,Smartphone,,8.0,2025-06-29
South,Home,Lamp,27.61,7.0,2025-09-24
West,Electronics,Laptop,,,2025-03-29
East,Home,Lamp,26.12,6.0,2025-12-01
,Sports,Yoga Mat,20.99,5.0,2025-01-11
South,Sports,Dumbbells,44.98,1.0,2025-02-15
East,Home,Chair,91.48,2.0,2025-06-20
North,Books,Textbook,47.52,4.0,2025-01-23
West,Clothing,Jeans,47.3,6.0,
,Electronics,Camera,535.91,9.0,2025-09-15
West,Sports,Bicycle,188.33,3.0,2025-10-15
South,Electronics,Headphones,68.33,9.0,2025-03-05
West,Sports,Skipping Rope,7.87,2.0,2025-08-27
South,Sports,Skipping Rope,9.32,7.0,2025-02-09
