gender,age,internet,family_support,school_support,parental_education,study_time_hours,attendance_pct,absences,failures,math_score,reading_score,writing_score
Male,17,Yes,Yes,Yes,High School,24.0,56.4,3,1,76,71,79
Female,17,Yes,Yes,No,No Formal Education,14.0,85.8,20,0,76,87,86
Male,17,Yes,No,Yes,Bachelor,23.0,79.0,9,2,84,81,83
Male,19,Yes,No,Yes,Master,22.0,86.4,13,0,80,96,75
Male,19,No,Yes,No,High School,27.0,60.1,16,0,90,87,83
Female,15,Yes,No,Yes,Bachelor,15.0,91.3,5,1,86,89,72
Female,15,Yes,Yes,No,Bachelor,1.0,85.8,22,1,77,67,57
Male,16,Yes,Yes,Yes,Bachelor,29.0,99.8,24,0,100,100,100
Male,15,No,No,No,PhD,27.0,74.6,29,0,85,89,81
Female,18,No,Yes,No,High School,23.0,79.9,2,0,88,93,85
Female,19,Yes,Yes,No,Bachelor,1.0,98.7,27,0,84,75,77
Female,17,Yes,No,No,High School,14.0,89.5,22,0,81,86,78
Male,15,Yes,Yes,No,No Formal Education,16.0,57.0,6,2,74,69,55
Female,19,Yes,Yes,No,No Formal Education,29.0,63.8,10,3,80,77,80
Male,18,Yes,No,No,High School,11.0,84.5,23,0,75,76,75
Female,16,Yes,No,No,High School,7.0,59.5,14,3,56,53,65
Female,19,Yes,No,No,Bachelor,27.0,67.3,5,0,83,85,85
Male,15,Yes,No,No,PhD,5.0,82.7,5,0,76,74,68
Male,18,No,No,Yes,High School,15.0,66.7,10,2,69,82,69
Male,16,Yes,No,Yes,High School,12.0,60.1,10,2,74,69,59
Male,19,Yes,Yes,Yes,PhD,12.0,87.6,10,2,76,77,74
Female,18,Yes,Yes,No,High School,14.0,79.4,1,0,89,80,80
Male,16,Yes,Yes,No,Master,29.0,57.0,19,0,84,77,87
Male,17,Yes,No,No,No Formal Education,18.0,82.3,19,1,86,83,79
Female,16,Yes,Yes,No,No Formal Education,2.0,81.9,10,0,61,76,68
Female,19,Yes,No,No,High School,1.0,76.9,28,1,60,70,55
Female,18,Yes,No,No,Bachelor,6.0,79.5,29,0,74,78,71
Female,17,No,Yes,No,High School,25.0,94.2,2,0,100,97,88
Male,19,Yes,Yes,Yes,No Formal Education,7.0,55.5,4,0,62,62,67
Male,17,Yes,No,Yes,High School,8.0,79.2,2,0,78,72,72
Male,16,Yes,No,Yes,Master,10.0,57.7,17,1,71,61,69
Male,15,No,Yes,No,No Formal Education,4.0,69.0,19,0,60,68,63
Female,16,No,Yes,Yes,High School,24.0,81.0,19,0,90,94,81
Male,16,Yes,No,No,High School,13.0,99.0,8,0,80,90,81
Male,16,No,Yes,No,Bachelor,13.0,95.2,5,1,82,86,80
Female,19,Yes,No,No,Master,29.0,79.4,23,0,95,98,87
Male,18,Yes,Yes,No,High School,26.0,88.0,14,1,87,97,92
Female,18,No,Yes,No,Bachelor,1.0,85.3,14,0,69,57,68
Female,15,Yes,Yes,No,High School,10.0,85.0,18,0,83,76,85
Male,15,Yes,Yes,No,High School,6.0,79.7,8,2,58,65,57
Female,17,Yes,Yes,No,No Formal Education,0.0,70.5,20,2,54,58,56
Male,16,Yes,Yes,No,Master,14.0,58.6,9,2,67,58,68
Female,16,Yes,No,No,Master,25.0,56.0,15,0,83,82,86
Male,18,No,Yes,No,High School,28.0,95.1,9,0,100,98,90
Female,17,Yes,No,No,Bachelor,11.0,89.3,23,0,81,78,85
Female,19,Yes,Yes,No,High School,12.0,91.1,29,0,95,79,80
Female,17,Yes,Yes,No,High School,12.0,87.2,17,0,91,91,76
Male,17,Yes,No,No,Master,13.0,58.4,11,0,68,78,57
Female,17,Yes,Yes,No,Bachelor,1.0,67.5,19,0,58,54,60
Female,15,Yes,No,No,Master,6.0,83.4,16,1,76,77,70
Female,18,Yes,No,Yes,Bachelor,10.0,67.1,8,0,70,78,63
Female,19,Yes,Yes,No,High School,27.0,85.9,4,0,100,100,87
Male,19,Yes,Yes,Yes,Master,4.0,95.4,8,0,85,83,70
Male,15,Yes,Yes,No,High School,25.0,66.6,27,0,82,85,77
Male,18,Yes,Yes,No,High School,0.0,76.1,20,0,68,66,66
Female,19,Yes,No,No,Master,19.0,83.7,1,0,92,82,85
Male,16,Yes,Yes,Yes,High School,0.0,98.4,6,0,73,83,61
Male,17,Yes,Yes,No,Master,6.0,71.5,7,0,75,69,63
Female,15,Yes,Yes,No,Bachelor,11.0,70.6,18,0,73,80,58
Female,17,No,Yes,No,No Formal Education,10.0,74.5,18,0,60,77,70
Male,17,Yes,No,No,Master,20.0,75.2,26,1,80,80,73
Female,16,Yes,Yes,No,PhD,3.0,57.2,18,0,62,57,56
Male,17,Yes,Yes,Yes,PhD,5.0,69.4,10,0,79,65,67
Female,15,Yes,No,No,Bachelor,0.0,89.0,22,0,69,64,67
Female,15,Yes,Yes,No,Master,7.0,78.3,24,1,69,75,70
Female,16,Yes,Yes,No,High School,26.0,87.5,11,0,100,100,94
Male,18,Yes,Yes,No,Bachelor,10.0,90.4,27,0,87,82,74
Female,16,Yes,Yes,No,High School,13.0,80.3,22,0,80,83,79
Female,19,Yes,Yes,Yes,High School,0.0,83.8,16,1,67,72,68
Male,17,No,Yes,No,Bachelor,1.0,94.1,29,0,74,67,66
Male,18,Yes,Yes,No,No Formal Education,21.0,76.1,16,0,88,87,84
Male,19,Yes,Yes,Yes,Master,29.0,59.2,6,0,91,89,81
Female,19,Yes,No,No,Bachelor,26.0,65.1,25,1,76,83,92
Female,16,Yes,Yes,No,No Formal Education,2.0,60.0,12,0,58,65,66
Male,16,Yes,No,No,High School,23.0,62.8,17,0,82,82,80
Male,15,No,Yes,No,Bachelor,9.0,63.2,12,0,65,68,69
Female,17,Yes,Yes,Yes,PhD,0.0,86.8,7,0,64,65,73
Female,18,No,No,Yes,High School,22.0,73.8,15,0,92,85,83
Female,16,Yes,Yes,Yes,High School,10.0,60.5,26,2,58,59,51
Female,15,Yes,Yes,Yes,Bachelor,14.0,59.1,14,0,66,79,70
Female,19,Yes,Yes,No,Bachelor,14.0,60.9,13,1,69,77,65
Female,17,Yes,No,No,Bachelor,29.0,68.4,28,1,80,74,79
Male,16,No,Yes,No,High School,18.0,61.4,11,0,77,71,72
Female,16,Yes,Yes,No,Bachelor,7.0,85.5,7,2,71,74,82
Female,15,Yes,Yes,No,No Formal Education,23.0,86.4,24,0,93,86,93
Female,19,Yes,No,No,Bachelor,11.0,65.3,1,0,68,79,71
Female,16,No,No,No,Master,5.0,96.8,9,1,74,77,83
Female,15,Yes,Yes,No,No Formal Education,1.0,96.2,26,0,72,87,77
Male,16,Yes,Yes,No,Bachelor,28.0,67.2,16,0,96,86,87
Male,18,Yes,No,No,High School,2.0,74.9,18,2,55,62,53
Female,15,Yes,Yes,Yes,Bachelor,9.0,72.1,23,0,75,79,72
Male,17,Yes,No,No,Master,8.0,73.9,2,3,59,68,57
Female,15,Yes,Yes,Yes,Master,15.0,57.3,18,0,74,78,66
Male,19,No,Yes,No,PhD,21.0,85.3,11,0,84,81,84
