age,tenure_months,monthly_charges,total_charges,support_calls,num_contracts,plan_type,payment_method,region,churned
62.0,16.0,119.63,1914.08,12.0,1.0,Premium,Cash,West,1
27.0,40.0,64.8,2592.0,4.0,4.0,Standard,Bank Transfer,West,0
19.0,34.0,24.63,837.42,1.0,3.0,Basic,Bank Transfer,South,0
51.0,13.0,68.53,890.89,3.0,5.0,Standard,Credit Card,West,0
37.0,17.0,22.82,387.94,7.0,4.0,Basic,Bank Transfer,West,0
42.0,62.0,61.9,3837.8,2.0,4.0,Standard,Bank Transfer,East,0
22.0,34.0,54.16,1841.44,12.0,3.0,Standard,Prepaid,East,1
37.0,46.0,38.03,1749.38,3.0,5.0,Basic,Credit Card,East,0
51.0,25.0,42.35,1058.75,12.0,2.0,Basic,Bank Transfer,North,1
36.0,9.0,25.45,229.05,8.0,5.0,Basic,Bank Transfer,North,1
61.0,19.0,69.54,1321.26,11.0,3.0,Standard,Bank Transfer,East,0
59.0,59.0,54.42,3210.78,8.0,1.0,Basic,Bank Transfer,West,0
54.0,63.0,94.28,5939.64,5.0,4.0,Premium,Prepaid,East,0
65.0,37.0,38.86,1437.82,10.0,3.0,Basic,Credit Card,East,1
55.0,46.0,,,11.0,1.0,Basic,Bank Transfer,South,0
27.0,25.0,26.65,666.25,5.0,2.0,Basic,Cash,North,0
62.0,64.0,22.54,1442.56,11.0,3.0,Basic,Credit Card,East,0
51.0,37.0,34.66,1282.42,2.0,1.0,Basic,Prepaid,South,0
23.0,46.0,20.53,944.38,0.0,3.0,Basic,Credit Card,South,0
33.0,38.0,33.59,1276.42,,1.0,Basic,Credit Card,West,0
26.0,39.0,62.38,2432.82,1.0,4.0,Standard,Credit Card,North,0
68.0,70.0,48.46,3392.2,1.0,5.0,Basic,Cash,South,0
55.0,37.0,38.13,1410.81,3.0,4.0,Basic,Prepaid,South,0
65.0,49.0,40.52,1985.48,14.0,5.0,Basic,Prepaid,West,1
32.0,30.0,38.06,1141.8,12.0,4.0,Basic,Prepaid,South,0
51.0,19.0,59.4,1128.6,11.0,5.0,Standard,Bank Transfer,East,0
49.0,10.0,24.9,249.0,14.0,1.0,Basic,Bank Transfer,East,1
57.0,30.0,59.17,1775.1,8.0,1.0,Standard,Credit Card,West,1
24.0,41.0,33.35,1367.35,2.0,2.0,Basic,Bank Transfer,West,0
44.0,8.0,78.77,630.16,1.0,2.0,Standard,Bank Transfer,West,0
51.0,68.0,80.25,5457.0,6.0,1.0,Standard,Credit Card,West,0
60.0,25.0,63.77,1594.25,7.0,2.0,Standard,Credit Card,West,1
52.0,68.0,73.95,5028.6,6.0,4.0,Standard,Prepaid,West,0
41.0,58.0,41.51,2407.58,2.0,3.0,Basic,Bank Transfer,West,0
41.0,8.0,36.93,295.44,3.0,5.0,Basic,Credit Card,West,0
35.0,29.0,39.35,1141.15,14.0,5.0,Basic,Credit Card,East,0
26.0,9.0,73.38,660.42,5.0,4.0,Standard,Cash,North,1
32.0,58.0,108.76,6308.08,6.0,3.0,Premium,Credit Card,West,0
25.0,24.0,,,10.0,2.0,Basic,Bank Transfer,North,0
29.0,22.0,73.4,1614.8,9.0,3.0,Standard,Prepaid,North,1
62.0,56.0,33.37,1868.72,10.0,3.0,Basic,Cash,North,0
45.0,44.0,116.77,5137.88,1.0,5.0,Premium,Cash,South,1
22.0,0.0,77.54,0.0,5.0,4.0,Standard,Prepaid,South,1
40.0,5.0,32.52,162.6,6.0,2.0,Basic,Credit Card,North,1
32.0,1.0,64.29,64.29,6.0,5.0,Standard,Bank Transfer,North,1
52.0,9.0,121.55,1093.95,2.0,5.0,Premium,Cash,West,0
61.0,31.0,25.62,794.22,1.0,5.0,Basic,Prepaid,West,0
18.0,29.0,74.93,2172.97,8.0,5.0,Standard,Bank Transfer,North,0
42.0,25.0,84.11,2102.75,12.0,2.0,Standard,Bank Transfer,South,1
41.0,66.0,77.77,5132.82,14.0,3.0,Standard,Bank Transfer,West,0
69.0,40.0,91.94,3677.6,0.0,4.0,Standard,Cash,South,0
36.0,51.0,34.67,1768.17,6.0,4.0,Basic,Prepaid,North,0
26.0,12.0,103.99,1247.88,13.0,5.0,Premium,Credit Card,West,1
28.0,15.0,51.12,766.8,10.0,4.0,Basic,Prepaid,East,0
