date,open,high,low,close,volume
2024-01-02,170.77,174.84,170.66,173.22,53992097
2024-01-03,171.06,173.01,170.82,171.83,109616807
2024-01-04,177.02,179.79,176.35,178.98,64660579
2024-01-05,173.99,176.17,172.65,174.78,36800140
2024-01-08,176.3,178.57,173.69,176.65,103085929
2024-01-09,178.09,179.67,174.47,176.37,102463863
2024-01-10,176.96,179.2,173.56,175.53,52242392
2024-01-11,177.39,179.61,176.79,178.49,105463592
2024-01-12,173.84,175.77,173.08,173.76,108940014
2024-01-15,169.27,171.77,169.04,171.29,91054980
2024-01-16,172.23,173.29,168.63,171.1,45486844
2024-01-17,176.12,176.15,174.17,175.77,26846789
2024-01-18,176.22,177.88,174.28,176.11,47826572
2024-01-19,178.8,180.23,178.5,178.62,80070623
2024-01-22,174.11,175.15,171.95,173.76,45919489
2024-01-23,170.49,171.76,169.14,170.64,108944253
2024-01-24,173.87,175.18,169.16,173.26,91415828
2024-01-25,173.08,176.51,170.07,171.73,44157161
2024-01-26,172.26,172.45,169.08,171.67,29712465
2024-01-29,173.45,174.85,172.59,173.68,119333357
2024-01-30,167.69,168.98,167.07,168.09,82946235
2024-01-31,166.07,167.0,163.37,165.16,74289344
2024-02-01,164.36,166.39,163.24,165.03,20562316
2024-02-02,161.18,161.48,159.81,161.31,78425049
2024-02-05,160.24,161.9,158.25,159.68,54887756
2024-02-06,160.32,161.98,157.83,159.67,104283730
2024-02-07,161.2,162.36,158.05,158.17,68511886
2024-02-08,156.69,159.34,154.02,157.62,103461985
2024-02-09,155.58,158.88,154.17,157.82,46737406
2024-02-12,160.92,161.43,160.13,161.12,43269270
2024-02-13,166.13,168.4,163.88,165.11,78688161
2024-02-14,165.94,166.24,164.22,164.23,57593634
2024-02-15,163.43,165.94,160.71,162.28,76768972
2024-02-16,163.53,164.99,161.99,164.58,42673470
2024-02-19,167.06,167.26,164.93,165.95,65953589
2024-02-20,166.22,167.82,165.93,166.68,101359392
2024-02-21,165.33,166.08,164.33,164.5,81496691
2024-02-22,166.67,168.91,164.95,166.22,106563004
2024-02-23,165.97,170.3,164.44,168.52,114369069
2024-02-26,162.47,164.59,161.93,164.13,58153502
2024-02-27,166.39,167.38,165.52,166.78,61425417
2024-02-28,166.97,170.39,165.77,166.7,72528167
2024-02-29,164.1,167.0,163.48,164.93,44312457
2024-03-01,160.76,162.59,158.93,161.14,84904932
2024-03-04,160.76,160.84,159.98,160.41,89514100
2024-03-05,160.63,160.93,158.56,160.36,72429146
2024-03-06,161.1,162.79,158.77,159.55,77090129
2024-03-07,155.92,157.74,155.89,156.76,111287699
2024-03-08,153.51,155.1,153.11,154.05,90882564
2024-03-11,155.07,157.68,152.73,155.79,110856540
2024-03-12,156.38,157.68,154.79,156.0,109963028
2024-03-13,155.47,158.91,153.9,156.76,110238196
2024-03-14,156.08,159.76,155.13,158.36,81895450
2024-03-15,159.62,161.96,157.72,160.18,118436064
2024-03-18,163.09,164.95,162.74,164.54,102548485
2024-03-19,165.01,165.18,163.67,164.46,113513988
2024-03-20,165.14,166.76,163.28,163.91,116660248
2024-03-21,159.29,161.94,158.53,161.65,46963722
2024-03-22,162.78,163.71,161.97,162.36,117124769
2024-03-25,163.41,163.68,163.06,163.11,25062156
2024-03-26,163.24,165.16,158.7,161.34,89307459
2024-03-27,162.54,162.55,159.97,161.36,102100427
2024-03-28,159.25,162.6,157.21,161.41,79019752
2024-03-29,172.34,173.4,170.11,170.71,111575680
2024-04-01,171.64,172.5,169.01,169.5,41995249
2024-04-02,171.96,174.53,171.4,172.83,72524353
2024-04-03,176.7,176.88,173.85,174.0,58442005
2024-04-04,172.49,175.15,171.51,173.86,45241817
2024-04-05,175.09,176.53,173.23,175.04,48361148
2024-04-08,174.87,176.66,174.15,176.1,42352310
2024-04-09,178.68,178.89,175.2,176.12,77845953
2024-04-10,177.23,177.76,174.92,175.56,32093927
2024-04-11,176.08,177.53,174.5,174.67,54518038
2024-04-12,173.76,175.88,171.78,173.76,94828727
2024-04-15,174.68,175.77,174.44,174.6,50752205
2024-04-16,175.7,177.93,172.47,174.4,68434040
2024-04-17,177.16,177.37,175.09,177.06,20284993
2024-04-18,181.65,183.28,179.99,180.9,32771932
2024-04-19,182.08,185.38,179.86,180.86,48645693
2024-04-22,179.99,181.07,179.27,180.15,118621188
2024-04-23,184.68,185.25,183.5,183.89,29790750
2024-04-24,183.89,184.95,182.9,183.81,102057170
2024-04-25,182.82,184.84,182.1,184.5,82013666
2024-04-26,186.61,186.84,182.25,183.54,38857876
2024-04-29,184.08,185.19,182.76,184.02,58535828
2024-04-30,187.76,189.43,185.9,187.77,88426845
2024-05-01,189.92,190.98,186.71,190.45,65513449
2024-05-02,186.29,187.49,184.66,187.44,49328550
2024-05-03,184.28,187.48,183.43,185.15,54330945
2024-05-06,186.29,187.19,183.58,184.13,59779898
2024-05-07,184.64,185.2,182.82,183.4,104123402
2024-05-08,185.83,186.26,184.89,185.46,90042717
2024-05-09,181.52,182.51,179.42,179.69,22033521
2024-05-10,183.66,184.1,180.05,183.34,118168210
2024-05-13,180.31,180.33,179.55,180.29,33633435
2024-05-14,184.07,186.59,181.93,183.25,65370673
2024-05-15,181.06,181.23,177.76,179.9,65416703
2024-05-16,178.55,179.47,177.97,179.45,71303624
2024-05-17,180.98,183.2,180.67,181.93,87087829
2024-05-20,183.27,183.99,181.49,182.13,80054180
2024-05-21,188.27,188.53,184.52,185.49,83392433
2024-05-22,193.11,195.07,191.92,192.78,98166287
2024-05-23,189.68,191.64,188.02,191.39,116165518
2024-05-24,189.98,190.62,188.32,188.71,28032483
2024-05-27,185.47,186.1,185.01,185.52,110739909
2024-05-28,181.37,182.96,180.9,181.45,55033807
