date,open,high,low,close,volume
2024-01-02,151.75,153.41,151.17,151.82,119007072
2024-01-03,154.75,155.23,153.1,154.25,77450526
2024-01-04,151.63,152.08,151.57,151.81,21788913
2024-01-05,151.78,153.35,151.26,151.72,113344580
2024-01-08,153.08,154.41,150.93,152.08,37156249
2024-01-09,155.44,156.54,154.41,155.08,75973644
2024-01-10,156.63,158.91,156.4,156.98,71334983
2024-01-11,157.39,159.02,154.86,156.33,47422550
2024-01-12,160.28,160.63,160.18,160.48,52253620
2024-01-15,162.62,164.21,161.72,161.75,41897553
2024-01-16,159.49,161.22,155.64,158.63,74366555
2024-01-17,159.58,161.14,158.37,158.83,76088367
2024-01-18,161.65,163.75,157.6,159.82,55922693
2024-01-19,156.03,159.59,154.37,158.08,52751001
2024-01-22,159.23,161.18,158.29,160.53,23110109
2024-01-23,159.47,159.76,157.42,159.18,54537353
2024-01-24,158.05,158.79,156.02,158.01,72129771
2024-01-25,159.05,161.26,158.57,160.87,94906651
2024-01-26,159.07,160.56,157.62,159.35,38334644
2024-01-29,159.85,160.52,158.5,159.02,44604641
2024-01-30,156.56,158.59,155.64,157.95,92501378
2024-01-31,156.06,158.0,155.86,157.43,66549008
2024-02-01,153.9,154.22,152.65,153.07,102682161
2024-02-02,148.33,151.84,148.23,150.0,78342664
2024-02-05,155.02,155.45,154.17,154.44,74653955
2024-02-06,156.18,158.08,154.8,157.51,44526407
2024-02-07,159.36,160.15,158.89,160.0,115354006
2024-02-08,157.93,158.4,156.95,157.31,48894459
2024-02-09,156.44,160.14,156.11,159.04,101985378
2024-02-12,160.43,164.1,159.07,159.91,96383752
2024-02-13,155.33,155.56,153.79,154.38,67589814
2024-02-14,153.06,153.36,151.84,152.44,105346859
2024-02-15,149.18,150.51,147.86,150.48,56228661
2024-02-16,143.02,144.79,142.82,144.0,28095703
2024-02-19,142.92,144.28,141.56,143.64,116592222
2024-02-20,143.86,144.83,142.97,144.42,89714608
2024-02-21,144.6,146.96,143.01,143.56,97265705
2024-02-22,147.08,149.32,145.67,147.86,57830957
2024-02-23,150.27,153.19,150.27,152.13,36486560
2024-02-26,151.5,154.76,149.68,153.03,90467736
2024-02-27,156.92,158.8,155.96,156.03,63593252
2024-02-28,152.08,155.04,151.67,154.05,94714321
2024-02-29,157.4,158.43,155.36,156.51,93070085
2024-03-01,157.4,158.76,155.18,155.73,111819042
2024-03-04,155.88,157.21,155.47,156.64,90758502
2024-03-05,156.1,156.73,154.15,154.84,97051321
2024-03-06,150.66,152.18,149.19,149.44,77697482
2024-03-07,152.93,153.43,150.9,151.74,109063655
2024-03-08,153.29,154.56,150.86,151.59,48614265
2024-03-11,145.38,147.93,144.82,146.57,93031282
2024-03-12,150.73,151.64,148.33,149.02,36299581
2024-03-13,147.88,147.96,143.77,145.5,74016269
2024-03-14,141.68,142.33,140.21,140.34,70003487
2024-03-15,143.26,144.36,141.4,142.03,68499876
2024-03-18,137.52,138.84,135.99,138.79,108381511
2024-03-19,144.01,144.02,141.19,142.17,78312805
2024-03-20,142.33,143.49,141.55,142.86,49596531
2024-03-21,142.46,142.87,140.4,141.88,65212881
2024-03-22,143.31,143.85,142.01,143.8,114571203
2024-03-25,144.69,145.69,143.15,145.07,114913042
2024-03-26,146.77,147.49,144.8,146.5,98904271
2024-03-27,146.98,147.51,146.56,147.49,89331395
2024-03-28,150.36,151.1,148.94,149.55,21526064
2024-03-29,146.52,147.33,145.07,146.62,55122239
2024-04-01,143.87,143.89,143.46,143.8,22580746
2024-04-02,144.26,144.98,141.35,143.48,90308620
2024-04-03,142.37,143.68,142.22,142.66,80647232
2024-04-04,143.91,144.69,142.52,143.66,52869021
2024-04-05,146.92,147.61,144.46,146.23,107776648
