date,open,high,low,close,volume
2024-01-02,139.62,140.48,138.04,138.81,48831954
2024-01-03,136.16,137.94,135.13,135.32,56393679
2024-01-04,136.79,136.93,134.82,135.31,65663852
2024-01-05,134.58,135.18,133.48,134.56,22134991
2024-01-08,135.81,138.2,134.6,135.69,48075916
2024-01-09,132.48,132.61,131.44,131.8,41716598
2024-01-10,134.24,135.24,133.52,134.68,107253320
2024-01-11,140.63,141.77,138.12,138.58,80203066
2024-01-12,133.99,136.84,133.58,135.61,115651206
2024-01-15,140.94,141.06,138.46,138.97,80009941
2024-01-16,135.06,138.29,134.4,137.51,44233554
2024-01-17,138.36,139.96,137.77,139.83,23843699
2024-01-18,143.05,144.09,141.39,144.01,78764710
2024-01-19,144.77,146.33,143.38,144.41,59321308
2024-01-22,141.16,141.19,138.52,140.32,77645037
2024-01-23,134.33,135.99,133.98,134.45,26782320
2024-01-24,132.93,133.19,131.74,132.89,101431561
2024-01-25,132.54,133.26,132.29,133.1,75334895
2024-01-26,133.53,134.42,132.83,133.09,86769981
2024-01-29,136.21,136.48,135.38,135.61,42503576
2024-01-30,137.37,139.01,136.57,137.65,116364275
2024-01-31,139.1,140.03,139.05,139.53,102759949
2024-02-01,134.14,136.57,133.31,134.61,111772653
2024-02-02,133.14,134.47,132.27,134.24,30652673
2024-02-05,133.82,135.47,133.06,134.57,76342724
2024-02-06,134.27,134.8,133.38,134.17,68115618
2024-02-07,129.64,130.32,129.22,129.4,111839354
2024-02-08,134.83,134.98,132.89,133.6,97199843
2024-02-09,130.57,131.72,128.93,131.13,89740964
2024-02-12,133.46,133.76,132.26,132.56,83266151
2024-02-13,131.85,132.73,128.07,129.59,69660755
2024-02-14,127.56,127.61,127.47,127.47,100929920
2024-02-15,132.15,134.38,131.25,131.53,107387933
2024-02-16,128.82,128.9,127.84,128.23,52181207
2024-02-19,126.97,127.67,124.01,125.54,107632694
2024-02-20,124.95,126.29,124.49,124.95,94227662
2024-02-21,125.24,126.52,124.84,125.91,86645669
2024-02-22,127.08,127.98,122.05,125.3,38901315
2024-02-23,125.84,128.21,124.9,125.11,85076369
2024-02-26,125.77,128.37,125.37,125.45,110533116
2024-02-27,126.01,126.31,124.26,125.19,95964966
2024-02-28,126.06,130.71,125.6,128.63,34036237
