date,open,high,low,close,volume
2024-01-02,369.07,374.13,363.78,373.36,68272972
2024-01-03,381.92,386.65,379.72,384.12,27819253
2024-01-04,373.82,380.18,367.66,378.25,66955329
2024-01-05,382.32,383.62,376.83,382.23,34792526
2024-01-08,389.01,394.42,384.21,386.18,37719724
2024-01-09,393.98,395.88,390.32,392.42,32718987
2024-01-10,394.63,398.22,390.24,390.56,104169206
2024-01-11,384.92,391.31,382.09,386.67,62603757
2024-01-12,391.47,394.83,387.38,389.55,89659979
2024-01-15,383.78,394.23,379.76,389.96,43622438
2024-01-16,383.1,391.59,376.86,388.92,105817740
2024-01-17,396.67,401.7,392.02,394.54,53223633
2024-01-18,403.02,403.59,395.14,396.01,73766674
2024-01-19,408.5,413.91,401.49,403.39,57148682
2024-01-22,401.86,405.04,398.0,401.25,69362651
2024-01-23,408.09,409.93,404.42,407.05,62676609
2024-01-24,402.59,412.59,400.5,407.43,28281031
2024-01-25,404.34,404.99,398.13,403.61,39464879
2024-01-26,408.03,409.83,404.69,408.6,84927863
2024-01-29,398.9,402.84,396.45,402.53,82563177
2024-01-30,417.43,420.31,408.16,411.45,64117645
2024-01-31,417.44,417.59,416.05,416.18,29568249
2024-02-01,419.32,421.89,419.18,420.15,46615488
2024-02-02,427.06,429.46,424.57,424.96,107625140
2024-02-05,423.28,431.88,419.53,424.95,78146428
2024-02-06,436.61,439.33,426.56,431.18,107128601
2024-02-07,436.11,438.53,430.58,433.65,116224982
2024-02-08,435.11,437.89,429.57,432.81,106740112
2024-02-09,436.75,438.99,433.55,434.53,40132302
2024-02-12,426.92,431.84,426.79,428.17,118712030
2024-02-13,438.37,441.78,430.26,440.22,24804032
2024-02-14,433.03,436.41,429.04,431.34,86807982
2024-02-15,426.94,427.98,414.43,425.64,100140173
2024-02-16,431.66,433.13,431.36,431.66,28973053
2024-02-19,430.89,435.27,428.88,433.42,44256279
2024-02-20,439.07,441.1,434.74,438.13,85793239
2024-02-21,445.02,453.71,441.61,447.65,118516885
2024-02-22,466.51,470.2,466.03,466.11,50958165
2024-02-23,456.16,458.88,453.0,456.58,36505926
2024-02-26,461.92,465.54,460.45,464.59,64334544
2024-02-27,469.71,477.15,466.77,467.29,113004401
2024-02-28,471.06,477.48,467.59,473.66,117224994
2024-02-29,475.27,480.29,468.55,473.04,84760801
2024-03-01,477.8,478.04,469.45,473.02,87356080
2024-03-04,465.15,469.77,461.86,468.22,93390327
2024-03-05,469.98,473.46,466.09,472.69,54425352
2024-03-06,470.53,475.77,466.65,471.24,31593089
