date,open,high,low,close,volume,ticker
2024-01-02,170.77,174.84,170.66,173.22,53992097,AAPL
2024-01-03,171.06,173.01,170.82,171.83,109616807,AAPL
2024-01-04,177.02,179.79,176.35,178.98,64660579,AAPL
2024-01-05,173.99,176.17,172.65,174.78,36800140,AAPL
2024-01-08,176.3,178.57,173.69,176.65,103085929,AAPL
2024-01-09,178.09,179.67,174.47,176.37,102463863,AAPL
2024-01-10,176.96,179.2,173.56,175.53,52242392,AAPL
2024-01-11,177.39,179.61,176.79,178.49,105463592,AAPL
2024-01-12,173.84,175.77,173.08,173.76,108940014,AAPL
2024-01-15,169.27,171.77,169.04,171.29,91054980,AAPL
2024-01-16,172.23,173.29,168.63,171.1,45486844,AAPL
2024-01-17,176.12,176.15,174.17,175.77,26846789,AAPL
2024-01-18,176.22,177.88,174.28,176.11,47826572,AAPL
2024-01-19,178.8,180.23,178.5,178.62,80070623,AAPL
2024-01-22,174.11,175.15,171.95,173.76,45919489,AAPL
2024-01-23,170.49,171.76,169.14,170.64,108944253,AAPL
2024-01-24,173.87,175.18,169.16,173.26,91415828,AAPL
2024-01-25,173.08,176.51,170.07,171.73,44157161,AAPL
2024-01-26,172.26,172.45,169.08,171.67,29712465,AAPL
2024-01-29,173.45,174.85,172.59,173.68,119333357,AAPL
2024-01-30,167.69,168.98,167.07,168.09,82946235,AAPL
2024-01-31,166.07,167.0,163.37,165.16,74289344,AAPL
2024-02-01,164.36,166.39,163.24,165.03,20562316,AAPL
2024-02-02,161.18,161.48,159.81,161.31,78425049,AAPL
2024-02-05,160.24,161.9,158.25,159.68,54887756,AAPL
2024-02-06,160.32,161.98,157.83,159.67,104283730,AAPL
2024-02-07,161.2,162.36,158.05,158.17,68511886,AAPL
2024-02-08,156.69,159.34,154.02,157.62,103461985,AAPL
2024-02-09,155.58,158.88,154.17,157.82,46737406,AAPL
2024-02-12,160.92,161.43,160.13,161.12,43269270,AAPL
2024-02-13,166.13,168.4,163.88,165.11,78688161,AAPL
2024-02-14,165.94,166.24,164.22,164.23,57593634,AAPL
2024-02-15,163.43,165.94,160.71,162.28,76768972,AAPL
2024-02-16,163.53,164.99,161.99,164.58,42673470,AAPL
2024-02-19,167.06,167.26,164.93,165.95,65953589,AAPL
2024-02-20,166.22,167.82,165.93,166.68,101359392,AAPL
2024-02-21,165.33,166.08,164.33,164.5,81496691,AAPL
2024-02-22,166.67,168.91,164.95,166.22,106563004,AAPL
2024-02-23,165.97,170.3,164.44,168.52,114369069,AAPL
2024-02-26,162.47,164.59,161.93,164.13,58153502,AAPL
2024-02-27,166.39,167.38,165.52,166.78,61425417,AAPL
2024-02-28,166.97,170.39,165.77,166.7,72528167,AAPL
2024-02-29,164.1,167.0,163.48,164.93,44312457,AAPL
2024-03-01,160.76,162.59,158.93,161.14,84904932,AAPL
2024-03-04,160.76,160.84,159.98,160.41,89514100,AAPL
2024-03-05,160.63,160.93,158.56,160.36,72429146,AAPL
2024-03-06,161.1,162.79,158.77,159.55,77090129,AAPL
2024-03-07,155.92,157.74,155.89,156.76,111287699,AAPL
2024-03-08,153.51,155.1,153.11,154.05,90882564,AAPL
2024-03-11,155.07,157.68,152.73,155.79,110856540,AAPL
2024-03-12,156.38,157.68,154.79,156.0,109963028,AAPL
2024-03-13,155.47,158.91,153.9,156.76,110238196,AAPL
2024-03-14,156.08,159.76,155.13,158.36,81895450,AAPL
